username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Robert Geyer,2894517109,Tacoma,2023-01-22 06:09:33,"@GuyCarver6 @RepMTG Funny, antifa and blm are both anti america marxist organizations committing treason against america,",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-22 05:54:32,@LUpthegrove @RepMTG And blm are anti american marxist just like the fascist antifa nazi's,0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-22 04:42:12,"@Avignon85 @ChristinaPushaw @BillyHeathFOX5 @Atlanta_Police @FOX5Atlanta Naw, I am fine, but will laugh histaricallâ€¦ https://t.co/kWTJrGKHYU",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-22 04:26:14,"@Avignon85 @ChristinaPushaw @BillyHeathFOX5 @Atlanta_Police @FOX5Atlanta Yep, a 12 year old fascist antifa nazi marâ€¦ https://t.co/XGOLSiCRUQ",0,Twitter for Android,
Tim,461558123,"Tacoma, WA USA",2023-01-22 04:19:28,@dpetti @EMECONOMOU @ProvSwedish @JimWalshLD19 @DiscoveryInst1 @choeshow @BrandiKruse @FreedomFdtn @ericmetaxasâ€¦ https://t.co/p5jhDB0LyG,0,Twitter Web App,
Robert Geyer,2894517109,Tacoma,2023-01-22 01:26:45,"@TimRunsHisMouth By treason committing marxist like lara and blm and antifa, but they will al get to stand trial foâ€¦ https://t.co/7U9Lliw9u4",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-21 22:30:28,"@kronk656 @larry_smith63 @ProudElephantUS Because blm is a marxist hate pushing racist organization, why do you thiâ€¦ https://t.co/mx9Zjndn1Q",0,Twitter for Android,
ARD Bark,1340002703699668993,"Federal Way, WA",2023-01-21 19:46:57,"@GeeScottSr Because they are an organization that make things right? BLM?! Oh, I forgot it depends on who's money bâ€¦ https://t.co/VHVbSqRDt1",0,Twitter for Android,
Timothy Atkins,1153885369143681026,"Puyallup, WA",2023-01-21 19:19:03,@Chris_Broussard @TonyDungy Yes indeed . . . But few brothers are like him sir . . . Just take a look in the NFL anâ€¦ https://t.co/F7GcT1Dndd,0,Twitter for Android,
Karen Price â˜®ï¸ğŸŒŠğŸ‡ºğŸ‡¦ ğŸŒˆ ğŸŒŠğŸ’™,2725619570,"Federal Way, WA",2023-01-21 18:37:31,"Me neither. #DeSantis is nothing but a #racist #fasict thug. Do not let that bully be ""elected' #POTUS. Get rid ofâ€¦ https://t.co/OekAU6Sbzm",0,Twitter Web App,
Karen Price â˜®ï¸ğŸŒŠğŸ‡ºğŸ‡¦ ğŸŒˆ ğŸŒŠğŸ’™,2725619570,"Federal Way, WA",2023-01-21 17:56:44,Obscene. White denial just makes it worse. #Black lives have always mattered. #VoteBlue #Florida #DemVoice1â€¦ https://t.co/Fzvq7i6VKp,0,Twitter Web App,
Karen Price â˜®ï¸ğŸŒŠğŸ‡ºğŸ‡¦ ğŸŒˆ ğŸŒŠğŸ’™,2725619570,"Federal Way, WA",2023-01-21 17:45:37,Me neither. #Florida deserves better. #DeSantis is a lying racist #THUG. He has no class at all. #bullyâ€¦ https://t.co/vLG1Er8EBp,0,Twitter Web App,
Karen Price â˜®ï¸ğŸŒŠğŸ‡ºğŸ‡¦ ğŸŒˆ ğŸŒŠğŸ’™,2725619570,"Federal Way, WA",2023-01-21 17:36:17,Damn right. #DeSantis might be doing it to drive #Parents who are against it into #homeschooling their #kids whileâ€¦ https://t.co/h281RUEgPI,1,Twitter Web App,
Robert Geyer,2894517109,Tacoma,2023-01-21 07:43:38,"@Decentr43423678 @FoxNews Not if all blm and antifa in 2020 got nothing,",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-21 07:03:00,"@TetmmB @jhandle5500 @LayahHeilpern Hillarious, well stay a racist blm marxist, obviously you love being racist,",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-21 06:21:31,"@Bob4546 @alexbruesewitz Well sorta, but its way bigger then that, globalist control the dems, globalist own leftisâ€¦ https://t.co/lchR9hx3zD",0,Twitter for Android,
Timothy Atkins,1153885369143681026,"Puyallup, WA",2023-01-21 04:14:30,Strange bed fellows are Prolife folks within the church who support prochoice brothers in public in a unity of BLM culture,0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-21 03:54:01,"@Jim_Jordan All dems know how to do is lie and commit treason against america, its their specialty with treasonous antifa and blm",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-21 01:27:35,"@Sahara_Stevens None of them, that is all dem lies, dems have always been the racist and then thry support racist marxist antifa and blm..",0,Twitter for Android,
Karen Price â˜®ï¸ğŸŒŠğŸ‡ºğŸ‡¦ ğŸŒˆ ğŸŒŠğŸ’™,2725619570,"Federal Way, WA",2023-01-21 00:13:02,He's also white. #racism #mother #THUG #murder #BlackLivesMatter #Rage #Parents #BLM #Speeding #VehiclerHomicideâ€¦ https://t.co/VeKL9vDmrY,0,Twitter Web App,
